datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
26.05.2021,"-76 714,00 CZK",Okamžitá odchozí platba,,ČSSD Praha,308,17021,32,"Ewing, s.r.o. - správa sociálních sítí 3/2021"
26.05.2021,"80 000,00 CZK",Platba převodem uvnitř banky,Česká strana sociálně demokratická,ČSSD Praha,308,9,NA,ČSSD Praha
26.05.2021,"-12 260,68 CZK",Karetní transakce,,"Nákup: FACEBK *YRZFU33LW2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.5.2021, částka  12260.68 CZK",NA,5794,NA,"Nákup: FACEBK *YRZFU33LW2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.5.2021, částka  12260.68 CZK"
24.05.2021,"-36 518,00 CZK",Okamžitá odchozí platba,,ČSSD Praha,308,2108002,31,"ARES CZ s.r.o. - pronájem reklamních ploch, Olomoucký kraj"
24.05.2021,"36 518,00 CZK",Platba převodem uvnitř banky,Česká strana sociálně demokratická,ČSSD Praha,NA,9,NA,Převod finančních prostředků Olomoucký kraj
13.05.2021,"30 000,00 CZK",Platba převodem uvnitř banky,Česká strana sociálně demokratická,ČSSD Praha,308,9,NA,ČSSD Praha
13.05.2021,"-23 500,00 CZK",Okamžitá odchozí platba,,ČSSD Praha,308,202021,27,SPORT IMAGE - podklady mediální prezentace ČSSD
12.05.2021,"-30 685,60 CZK",Okamžitá odchozí platba,,ČSSD Praha,308,20921,26,"Ewing, s.r.o. - správa sociálních sítí 1.-12.4/2021"
12.05.2021,"-12 100,00 CZK",Okamžitá odchozí platba,,ČSSD Praha,308,21044,28,Herzmann s.r.o. - projekt Český volič
12.05.2021,"30 000,00 CZK",Platba převodem uvnitř banky,Česká strana sociálně demokratická,ČSSD Praha,308,9,NA,ČSSD Praha
