<<<<<<< HEAD
date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note
30.07.2021,-1943,Platba převodem uvnitř banky,"","Tisk Sarpet s.r.o., bannery",308,113314571,1400,"Tisk Sarpet s.r.o., bannery"
30.07.2021,-1782,Bezhotovostní platba,"","Marie Pošarová, bannery",308,113314528,1000,"Marie Pošarová, bannery"
30.07.2021,-21250,Platba převodem uvnitř banky,"","SP-Solutions s.r.o., bezpeč. služby",308,2021018,100,"SP-Solutions s.r.o., bezpeč. služby"
30.07.2021,-10890,Platba převodem uvnitř banky,"","LEDBOARD s.r.o., reklama",308,62021,300,"LEDBOARD s.r.o., reklama"
30.07.2021,-4435,Bezhotovostní platba,"","Věra Maříková, bannery",308,113314520,400,"Věra Maříková, bannery"
30.07.2021,-1014,Bezhotovostní platba,"","Vladimíra Lesenská, sponkovačka",308,20210718,500,"Vladimíra Lesenská, sponkovačka"
30.07.2021,-20000,Karetní transakce,"","Nákup: FACEBK *23D8G6KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.7.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *23D8G6KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.7.2021, částka  20000.00 CZK"
26.07.2021,-20000,Karetní transakce,"","Nákup: FACEBK *6KYPK6PAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, částka  20000.00 CZK",,3344,,"Nákup: FACEBK *6KYPK6PAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, částka  20000.00 CZK"
23.07.2021,-3971.7,Karetní transakce,"","Nákup: FACEBK *ERPK743Z62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, částka  3971.70 CZK",,3344,,"Nákup: FACEBK *ERPK743Z62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, částka  3971.70 CZK"
21.07.2021,-1021,Bezhotovostní platba,"","Bohemia Properties a.s., ubytování",308,1271146,100,"Bohemia Properties a.s., ubytování"
21.07.2021,-25000,Bezhotovostní platba,"","Ondřej Březina, prezentace projektu",308,20210004,800,"Ondřej Březina, prezentace projektu, digitální marketing"
21.07.2021,-9850,Bezhotovostní platba,"","Bohemia Properties a.s.,občerstvení",308,1271091,100,"Bohemia Properties a.s.,občerstvení"
21.07.2021,-4235,Bezhotovostní platba,"","H+S BUSSI s.r.o., doprava",308,20210235,100,"H+S BUSSI s.r.o., doprava"
21.07.2021,-63597.6,Bezhotovostní platba,"","Olmer ad, s.r.o., technika grémium",308,210129,100,"Olmer ad, s.r.o., technika grémium"
21.07.2021,-6250,Platba převodem uvnitř banky,"","SP-Solutions s.r.o., bezpeč. služby",308,2021016,100,"SP-Solutions s.r.o., bezpeč. služby"
21.07.2021,-505,Bezhotovostní platba,"","Marcela Zýchová, občerstvení kampaň",308,202966,100,"Marcela Zýchová, občerstvení kampaň"
