datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
15.07.2021,"-2 307,47 CZK",Platba převodem uvnitř banky,,,308,20210511,2400,"2400-R36 cz.,s.r.o.-magnetky na auto"
15.07.2021,"-20 085,90 CZK",Bezhotovostní platba,,,308,2117014523,2400,2400-VLTAVA LABE MEDIA a.s. - distribuce
15.07.2021,"-121 000,00 CZK",Bezhotovostní platba,,,308,20210030,1114,1114-Adam Nedvídek - moderování
15.07.2021,"-57 600,00 CZK",Platba převodem uvnitř banky,,,308,162021,1114,1114-Zuzana Bönisch - fotopráce
15.07.2021,"-5 450,00 CZK",Bezhotovostní platba,,,308,20210028,1114,1114-Aleš Svoboda - kampaňová videa
15.07.2021,"-30 800,00 CZK",Bezhotovostní platba,,,308,17,1114,1114-Matěj Štěpán- volební videa
15.07.2021,"200 000,00 CZK",Platba převodem uvnitř banky,Občanská demokratická strana,1114-převod financí,NA,NA,NA,1114-převod financí
14.07.2021,"-100,00 CZK",Bezhotovostní platba,,,558,7160000171,2200,2200-Město Příbram- správní poplatek
14.07.2021,"-8 228,00 CZK",Bezhotovostní platba,,,308,18546221,3200,3200-Riessner-Gase s.r.o. - helium
14.07.2021,"-28 800,00 CZK",Platba převodem uvnitř banky,,,308,202121,1114,1114-Táňa Niklová Kynclová- grafické práce
14.07.2021,"100 000,00 CZK",Platba převodem uvnitř banky,Občanská demokratická strana,1114-převod financí,NA,NA,NA,1114-převod financí
13.07.2021,"-3 000,00 CZK",Bezhotovostní platba,,,558,1343000164,2200,2200-Město Říčany-poplatek za zábor
13.07.2021,"-15 293,03 CZK",Bezhotovostní platba,,,308,21010014,2200,"2200-KENTAUR MEDIA s.r.o. - pronájem sálu, zvukař, občerstvení"
13.07.2021,"-2 934,25 CZK",Bezhotovostní platba,,,308,1100524,2200,"2200-LABEL s.r.o. - tisk pohlednic, grafika"
13.07.2021,"-1 500 000,00 CZK",Bezhotovostní platba,,,NA,2100069,1114,1114-Dream PRO s.r.o. - záloha na Letní kina
13.07.2021,"-35 000,00 CZK",Bezhotovostní platba,,,308,30062021,1114,1114-Mgr.M.Gregor -T-konzultace vol. strategie
13.07.2021,"-36 300,00 CZK",Bezhotovostní platba,,,308,2021132,1114,1114-COOT CZ s.r.o.-přepravní služby
13.07.2021,"-60 500,00 CZK",Bezhotovostní platba,,,308,20210063,1114,1114-JHS MediaGroup s.r.o.-K-inzerce
12.07.2021,"1 500 000,00 CZK",Platba převodem uvnitř banky,Občanská demokratická strana,převod financí,NA,NA,NA,převod financí
12.07.2021,"-380,00 CZK",Bezhotovostní platba,,,NA,1,2500,2500-M. Ziegler - poplatky za zábor
