"date","amount","type","contra_account_name","message_for_recipient","ks","vs","ss","note"
"28.07.2021",-119,"Karetní transakce","","Nákup: PPL CZ,  PPL CZ, Ricany, 25101, CZE, dne 27.7.2021, částka  119.00 CZK",NA,9967,NA,"Nákup: PPL CZ,  PPL CZ, Ricany, 25101, CZE, dne 27.7.2021, částka  119.00 CZK"
"28.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 27.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 27.7.2021, částka  15000.00 CZK"
"27.07.2021",-500,"Karetní transakce","","Nákup: FACEBK *RXQW4634Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 26.7.2021, částka  500.00 CZK",NA,6835,NA,"Nákup: FACEBK *RXQW4634Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 26.7.2021, částka  500.00 CZK"
"27.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK"
"26.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 26.7.2021, částka  15000.00 CZK"
"26.07.2021",-931.7,"Platba převodem uvnitř banky","","pp#17422 FO 2538/2021, stc:p, skoleni-gdpr, crdr-spol-s-ro",308,120211825,NA,"pp#17422 FO 2538/2021, stc:p, skoleni-gdpr, crdr-spol-s-ro"
"26.07.2021",-7900,"Bezhotovostní platba","","pp#17420 FO 2536/2021, stc:p, zabor-lavicky-votice, mestsky-urad-votice",NA,9030000139,42021,"pp#17420 FO 2536/2021, stc:p, zabor-lavicky-votice, mestsky-urad-votice"
"26.07.2021",-11950,"Bezhotovostní platba","","pp#17417 FO 2533/2021, cen:vs, fotograf-lidr-tour-cervenec, cityboys-sro",NA,20210701,42021,"pp#17417 FO 2533/2021, cen:vs, fotograf-lidr-tour-cervenec, cityboys-sro"
"26.07.2021",-165,"Bezhotovostní platba","","pp#17413 FO 2529/2021, stc:p, parkovne-beroun-namesti, mesto-beroun",NA,25292021,42021,"pp#17413 FO 2529/2021, stc:p, parkovne-beroun-namesti, mesto-beroun"
"26.07.2021",-2331,"Bezhotovostní platba","","pp#17412 FO 2528/2021, stc:p, obed-akce-v-beroune-237, adminga-sro",NA,25282021,42021,"pp#17412 FO 2528/2021, stc:p, obed-akce-v-beroune-237, adminga-sro"
"26.07.2021",-84700,"Bezhotovostní platba","","pp#17376 FO 2502/2021, cen:vs, spindoctor-cervenec, martin-charvat",308,20210027,42021,"pp#17376 FO 2502/2021, cen:vs, spindoctor-cervenec, martin-charvat"
"26.07.2021",-11000,"Bezhotovostní platba","","pp#17364 FO 2493/2021, cen:vs, fotograf-lidr-tour, ales-malar",NA,2207,42021,"pp#17364 FO 2493/2021, cen:vs, fotograf-lidr-tour, ales-malar"
"26.07.2021",-10000,"Karetní transakce","","Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 25.7.2021, částka  10000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 25.7.2021, částka  10000.00 CZK"
"26.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK"
"26.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.7.2021, částka  15000.00 CZK"
"26.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK"
