baseInfo.accountBalance,baseInfo.paymentTypeId,baseInfo.accountingOrder,baseInfo.idTran,baseInfo.idZp,baseInfo.accountingTypeId,baseInfo.accountingTypeCode,baseInfo.ccTypeCode,baseInfo.bankReference,baseInfo.transactionTypeCode,baseInfo.transactionDescription,baseInfo.transactionNote,baseInfo.typeOfBreakdownCode,baseInfo.transactionGroupCode,baseInfo.generalTextList,baseInfo.accountAmountData.amount,baseInfo.accountAmountData.currencyCode,baseInfo.accountingDate.dayOfYear,baseInfo.accountingDate.dayOfWeek,baseInfo.accountingDate.month,baseInfo.accountingDate.dayOfMonth,baseInfo.accountingDate.year,baseInfo.accountingDate.monthValue,baseInfo.accountingDate.nano,baseInfo.accountingDate.hour,baseInfo.accountingDate.minute,baseInfo.accountingDate.second,baseInfo.accountingDate.chronology.calendarType,baseInfo.accountingDate.chronology.id,transactionTypeChoice.crossborderPayment,transactionTypeChoice.sepaCreditTransfer,transactionTypeChoice.tbca,transactionTypeChoice.fee,transactionTypeChoice.externalAccountTransaction,transactionTypeChoice.otherTransaction,transactionTypeChoice.domesticPayment.paymentAmountData,transactionTypeChoice.domesticPayment.exchangeRate,transactionTypeChoice.domesticPayment.partyName,transactionTypeChoice.domesticPayment.batchName,transactionTypeChoice.domesticPayment.transactionSystemComment,transactionTypeChoice.domesticPayment.debitingDate.dayOfYear,transactionTypeChoice.domesticPayment.debitingDate.dayOfWeek,transactionTypeChoice.domesticPayment.debitingDate.month,transactionTypeChoice.domesticPayment.debitingDate.dayOfMonth,transactionTypeChoice.domesticPayment.debitingDate.year,transactionTypeChoice.domesticPayment.debitingDate.monthValue,transactionTypeChoice.domesticPayment.debitingDate.nano,transactionTypeChoice.domesticPayment.debitingDate.hour,transactionTypeChoice.domesticPayment.debitingDate.minute,transactionTypeChoice.domesticPayment.debitingDate.second,transactionTypeChoice.domesticPayment.debitingDate.chronology.calendarType,transactionTypeChoice.domesticPayment.debitingDate.chronology.id,transactionTypeChoice.domesticPayment.partyAccount.internalAccount,transactionTypeChoice.domesticPayment.partyAccount.foreignAccount,transactionTypeChoice.domesticPayment.partyAccount.domesticAccount.accountNumber,transactionTypeChoice.domesticPayment.partyAccount.domesticAccount.bankCode,transactionTypeChoice.domesticPayment.symbols.variableSymbol,transactionTypeChoice.domesticPayment.symbols.specificSymbol,transactionTypeChoice.domesticPayment.symbols.constantSymbol,transactionTypeChoice.domesticPayment.message.message1,transactionTypeChoice.domesticPayment.message.message2,transactionTypeChoice.domesticPayment.message.message3,transactionTypeChoice.domesticPayment.message.message4
14824430.11,1,,CB0GRV8091,9626913407,3,D,11,202108230167654D,10,Odchozí úhrada,,,T,,-784030,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"FUTURA, a.s.",,,,,,,,,,,,,,,,,1921614319,0800,2021110239,,0000,volby PČR - reklama u Českých,drah,,
14605400.21,1,,CB0GRV8088,9626913415,3,D,11,202108230167656D,10,Odchozí úhrada,,,T,,-2450,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"FUTURA, a.s.",,,,,,,,,,,,,,,,,1921614319,0800,2021130229,,0000,volby PČR - prop.předměty,,,
14607850.21,1,,CB0GRV8085,9626913414,3,D,11,202108230167658D,10,Odchozí úhrada,,,T,,-4174.5,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Radek Švoma,,,,,,,,,,,,,,,,,5246971379,0800,2101072,,0000,volby PČR - reklamní folie,,,
14612024.71,1,,CB0GRV8087,9626913413,3,D,11,202108230167660D,10,Odchozí úhrada,,,T,,-10200,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,PhDr. Miroslava Vohralíková,,,,,,,,,,,,,,,,,2319256023,0800,20217025,,0000,volby PČR - propagace kandidát,ů,,
14622224.71,1,,CB0GRV8086,9626913412,3,D,11,202108230167659D,10,Odchozí úhrada,,,T,,-10285,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,euroAWK s.r.o.,,,,,,,,,,,,,,,,,4030016685,6800,144,,0000,volby PČR - kampaň,,,
14632509.71,1,,CB0GRV8092,9626913411,3,D,11,202108230167649D,10,Odchozí úhrada,,,T,,-28010,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"FUTURA, a.s.",,,,,,,,,,,,,,,,,1921614319,0800,2021110242,,0000,"volby PČR - billboard,banery",,,
14660519.71,1,,CB0GRV8084,9626913410,3,D,11,202108230167657D,10,Odchozí úhrada,,,T,,-29330.4,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,VLTAVA LABE MEDIA a.s.,,,,,,,,,,,,,,,,,1033041444,5500,2117017476,,0000,volby PČR - inzerce,,,
14689850.11,1,,CB0GRV8089,9626913409,3,D,11,202108230167655D,10,Odchozí úhrada,,,T,,-59700,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"FUTURA, a.s.",,,,,,,,,,,,,,,,,1921614319,0800,2021110240,,0000,volby PČR - rámeček,,,
14749550.11,1,,CB0GRV8090,9626913408,3,D,11,202108230167653D,10,Odchozí úhrada,,,T,,-74880,CZK,235,MONDAY,AUGUST,23,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"FUTURA, a.s.",,,,,,,,,,,,,,,,,1921614319,0800,2021110243,,0000,volby PČR - banery,,,
15666696.15,,,,9620089037,3,C,11,202108190128229C,11,Příchozí úhrada,,,T,,20000,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,OKRESNÍ VÝBOR KOMUNI,,,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,635161,0100,0000032105,"",0308,,,,
15646696.15,,,,9620059862,3,C,11,202108190124282C,11,Příchozí úhrada,,,T,,1768.54,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KSCM,,,,,,,,,,,,,,,,,195520355,0300,33107,,0308,Převod od OV KSČM Tábor,,,
15608460.11,1,,CB0GQL0097,9620264264,3,D,11,202108190174166D,10,Odchozí úhrada,,,T,,-1768.54,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,WIP Reklama spol. s r.o.,,,,,,,,,,,,,,,,,1100004396,5500,211301306,,0000,volby PČR - výlep,,,
15610228.65,1,,CB0GQL0092,9620264261,3,D,11,202108190174161D,10,Odchozí úhrada,,,T,,-6655,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,OHŘE MEDIA spol. s r.o.,,,,,,,,,,,,,,,,,786662550287,0100,105422021,,0000,volby PČR - inzerce,,,
15616883.65,1,,CB0GQL0093,9620264258,3,D,11,202108190174162D,10,Odchozí úhrada,,,T,,-8712,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"Vesna Liberec, spol. s r.o.",,,,,,,,,,,,,,,,,905057933,0300,21068,,0000,volby PČR - billboard,,,
15625595.65,1,,CB0GQL0094,9620264256,3,D,11,202108190174165D,10,Odchozí úhrada,,,T,,-11495,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Jan Stejskal,,,,,,,,,,,,,,,,,162468757,0600,100922021,,0000,volby PČR - výroba bannerů,,,
15637090.65,1,,CB0GQL0096,9620264253,3,D,11,202108190174164D,10,Odchozí úhrada,,,T,,-12000,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Milan Olah,,,,,,,,,,,,,,,,,2176620173,0800,12021,,0000,volby PČR - hudební produkce,,,
15649090.65,1,,CB0GQL0095,9620264251,3,D,11,202108190174160D,10,Odchozí úhrada,,,T,,-17605.5,CZK,231,THURSDAY,AUGUST,19,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,SOPKO s.r.o.,,,,,,,,,,,,,,,,,228758328,0300,210459,,0000,volby PČR - polep autobusů,,,
15645021.51,,,,9617468762,3,C,11,202108180102042C,11,Příchozí úhrada,,,T,,7459,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KOMUNISTICKÁ STRANA,,,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,2136331,0100,0000034101,"",0308,Převod od OV KSČM Cheb,,,
15644927.61,,,,9617842260,3,C,11,202108180185512C,11,Příchozí úhrada,,,T,,11495,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KOMUNISTIC.STR.CECH,,,,,,,,,,,,,,,,,298662137,0300,100922021,,,Převod od KV KSČM Vysočina,,,
15633432.61,1,,CB0GPW6783,9617798316,3,D,11,202108180180997D,10,Odchozí úhrada,,,T,,-5128,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022721,,0000,volby PČR - výlep,,,
15638560.61,1,,CB0GPW6782,9617798315,3,D,11,202108180180991D,10,Odchozí úhrada,,,T,,-7459,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022722,,0000,volby PČR - výlep,,,
15646019.61,1,,CB0GPW6781,9617798314,3,D,11,202108180180990D,10,Odchozí úhrada,,,T,,-64129.9,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Milan Rusňák,,,,,,,,,,,,,,,,,130745561,0100,210414,,0000,volby PČR - volební materiál,,,
15710149.51,,,,9617703302,3,C,11,202108180149293C,11,Příchozí úhrada,,,T,,60000,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,OV KSČM Ml.Boleslav,,,,,,,,,,,,,,,,,298855326,0300,32107,,,převod od OV KSČM Mladá Boleslav,,,
15637562.51,,,,9616981395,3,C,11,202108180049557C,11,Příchozí úhrada,,,T,,10000,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KSCM,,,,,,,,,,,,,,,,,112631800,0300,36207,,,,,,
