date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note,entity_name,text,prediction_new_data
2021-08-06,-2336,Karetní transakce,"","Nákup: IKEA CZ ecom,  Skandinavska 1 131, Praha, 155 00, CZE, dne 5.8.2021, částka  2336.00 CZK",,8267,,"Nákup: IKEA CZ ecom,  Skandinavska 1 131, Praha, 155 00, CZE, dne 5.8.2021, částka  2336.00 CZK",pirati_stan,"Nakup: IKEA CZ ecom, Skandinavska 1 131, Praha, 155 00, CZE, dne 5.8.2021, castka 2336.00 CZK Nakup: IKEA CZ ecom, Skandinavska 1 131, Praha, 155 00, CZE, dne 5.8.2021, castka 2336.00 CZK",d
2021-08-05,-10000,Platba převodem uvnitř banky,"","pp#17414 FO 2530/2021, cen:vs, fotografovani-ivana-bartose-v-litomericichterezine-a-v-usteku, frantisek-nikl",,20210720,42021,"pp#17414 FO 2530/2021, cen:vs, fotografovani-ivana-bartose-v-litomericichterezine-a-v-usteku, frantisek-nikl",pirati_stan,"pp#17414 FO 2530/2021, cen:vs, fotografovani-ivana-bartose-v-litomericichterezine-a-v-usteku, frantisek-nikl pp#17414 FO 2530/2021, cen:vs, fotografovani-ivana-bartose-v-litomericichterezine-a-v-usteku, frantisek-nikl",d
2021-08-05,-40000,Okamžitá odchozí platba,"","pp#17597 FO 2697/2021, cen:vs, antihoax-officer-cervenec, vendula-prokupkova",308,20210003,42021,"pp#17597 FO 2697/2021, cen:vs, antihoax-officer-cervenec, vendula-prokupkova",pirati_stan,"pp#17597 FO 2697/2021, cen:vs, antihoax-officer-cervenec, vendula-prokupkova pp#17597 FO 2697/2021, cen:vs, antihoax-officer-cervenec, vendula-prokupkova",d
2021-08-05,-43500,Okamžitá odchozí platba,"","pp#17612 FO 2712/2021, cen:mo, proplaceni-sefredaktor-piratskych-listu-a-pr-spojka-pro-pardubicky-a-liberecky-kraj-202107, michalchalupa",,2021008,,"pp#17612 FO 2712/2021, cen:mo, proplaceni-sefredaktor-piratskych-listu-a-pr-spojka-pro-pardubicky-a-liberecky-kraj-202107, michalchalupa",pirati_stan,"pp#17612 FO 2712/2021, cen:mo, proplaceni-sefredaktor-piratskych-listu-a-pr-spojka-pro-pardubicky-a-liberecky-kraj-202107, michalchalupa pp#17612 FO 2712/2021, cen:mo, proplaceni-sefredaktor-piratskych-listu-a-pr-spojka-pro-pardubicky-a-liberecky-kraj-202107, michalchalupa",i
2021-08-05,3317382.58,Platba převodem uvnitř banky,Česká pirátská strana,Převod na účet 2601909155 PIRÁTI,,,,Převod na účet 2601909155 PIRÁTI,pirati_stan,Prevod na ucet 2601909155 PIRATI Prevod na ucet 2601909155 PIRATI,d
2021-08-05,-4915.01,Karetní transakce,"","Nákup: FACEBK *832XC6BSB2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.8.2021, částka  4915.01 CZK",,8267,,"Nákup: FACEBK *832XC6BSB2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.8.2021, částka  4915.01 CZK",pirati_stan,"Nakup: FACEBK *832XC6BSB2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.8.2021, castka 4915.01 CZK Nakup: FACEBK *832XC6BSB2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.8.2021, castka 4915.01 CZK",f
2021-08-04,-7590,Okamžitá odchozí platba,"","pp#17604 FO 2704/2021, pha:p, obcerstveni-pro-kandidaty-pirstan, restaurace-kogo",,40821,42021,"pp#17604 FO 2704/2021, pha:p, obcerstveni-pro-kandidaty-pirstan, restaurace-kogo",pirati_stan,"pp#17604 FO 2704/2021, pha:p, obcerstveni-pro-kandidaty-pirstan, restaurace-kogo pp#17604 FO 2704/2021, pha:p, obcerstveni-pro-kandidaty-pirstan, restaurace-kogo",d
2021-08-04,-560,Bezhotovostní platba,"","pp#17618 FO 2718/2021, jhm:p, vyroba-nahradnich-klicu, zamkarstvi-jiri-rozsypal",,27182021,42021,"pp#17618 FO 2718/2021, jhm:p, vyroba-nahradnich-klicu, zamkarstvi-jiri-rozsypal",pirati_stan,"pp#17618 FO 2718/2021, jhm:p, vyroba-nahradnich-klicu, zamkarstvi-jiri-rozsypal pp#17618 FO 2718/2021, jhm:p, vyroba-nahradnich-klicu, zamkarstvi-jiri-rozsypal",d
2021-08-04,-17306,Bezhotovostní platba,"","pp#17617 FO 2717/2021, jhm:p, pronajem-dodavka-srpen, autofrana-sro",,1015466,42021,"pp#17617 FO 2717/2021, jhm:p, pronajem-dodavka-srpen, autofrana-sro",pirati_stan,"pp#17617 FO 2717/2021, jhm:p, pronajem-dodavka-srpen, autofrana-sro pp#17617 FO 2717/2021, jhm:p, pronajem-dodavka-srpen, autofrana-sro",d
2021-08-04,-40000,Bezhotovostní platba,"","pp#17619 FO 2719/2021, cen:vs, pr-podpora-kampane-cervenec, eva-marinicova",,20210005,42021,"pp#17619 FO 2719/2021, cen:vs, pr-podpora-kampane-cervenec, eva-marinicova",pirati_stan,"pp#17619 FO 2719/2021, cen:vs, pr-podpora-kampane-cervenec, eva-marinicova pp#17619 FO 2719/2021, cen:vs, pr-podpora-kampane-cervenec, eva-marinicova",d
2021-08-04,-3360,Bezhotovostní platba,"","pp#17614 FO 2714/2021, stc:p, zabor-lavicky-mlada-boleslav, magistrat-mesta-mlada-boleslav",,2040020109,42021,"pp#17614 FO 2714/2021, stc:p, zabor-lavicky-mlada-boleslav, magistrat-mesta-mlada-boleslav",pirati_stan,"pp#17614 FO 2714/2021, stc:p, zabor-lavicky-mlada-boleslav, magistrat-mesta-mlada-boleslav pp#17614 FO 2714/2021, stc:p, zabor-lavicky-mlada-boleslav, magistrat-mesta-mlada-boleslav",d
