datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
08.06.2021,"-2 740,00 CZK",Okamžitá odchozí platba,,,558,202101,NA,"2400-Karina Eismanová, poplatky , PHM"
08.06.2021,"-12 000,00 CZK",Okamžitá odchozí platba,,,308,72021,2400,"2400-Josef Adlt, focení kandidátů"
08.06.2021,"-400,00 CZK",Bezhotovostní platba,,,308,62021,1114,"1114-Obec Luboměř, výlep plakátů"
08.06.2021,"-118 580,00 CZK",Bezhotovostní platba,,,308,2101005,1114,"1114-Daylight films s.r.o., projekt TV SPOLU"
07.06.2021,"-10 000,00 CZK",Okamžitá odchozí platba,,,308,1190000019,2100,"2100-Nemocnice Milosrdných sester sv. , srdíčka akce Petřín"
07.06.2021,"-68 700,00 CZK",Bezhotovostní platba,,,308,202119,1114,"1114-Monika Zahem , retuše fotografií"
07.06.2021,"-16 746,40 CZK",Bezhotovostní platba,,,308,2113575,1114,"1114-Typos , tisk. závody s.r.o., plakáty"
04.06.2021,"-67,00 CZK",Okamžitá odchozí platba,,,0,1022369,3200,"3200-RENGL s.r.o., výlep"
04.06.2021,"-8 820,90 CZK",Okamžitá odchozí platba,,,308,2210366,3400,"3400-JPRINT s.r.o., tisk letáků"
04.06.2021,"-318,00 CZK",Okamžitá odchozí platba,,,0,1022357,3200,"3200-RENGL s.r.o., výlep"
02.06.2021,"-7 986,00 CZK",Okamžitá odchozí platba,,,308,2021006,2500,"2500-Cavalletta s.r.o., focení kandidátů"
02.06.2021,"-1 000,00 CZK",Bezhotovostní platba,,,308,1421,3000,"3000-Radka Švejnohová , správa FBC"
02.06.2021,"-2 000,00 CZK",Bezhotovostní platba,,,308,20210006,3000,"3000-Dragon Boat Ostrava z.s., startovné Dračí lodě"
02.06.2021,"-6 000,00 CZK",Bezhotovostní platba,,,308,2100200019,3000,"3000-Mikroregion Slezská Harta, dračí lodě SPOLU"
01.06.2021,"-160 793,72 CZK",Bezhotovostní platba,,,308,210100041,1114,"1114-Dream PRO s.r.o., technické zajištění zahájení kampaně"
01.06.2021,"-92 930,42 CZK",Bezhotovostní platba,,,308,210100040,1114,"1114-Dream PRO s.r.o., promostolky"
01.06.2021,"-79 460,70 CZK",Bezhotovostní platba,,,308,210100039,1114,"1114-Dream PRO s.r.o., propagační předměty"
01.06.2021,"-131 602,63 CZK",Bezhotovostní platba,,,308,210100038,1114,"1114-Dream PRO s.r.o., propagační předměty"
01.06.2021,"-168 611,08 CZK",Bezhotovostní platba,,,308,210100037,1114,"1114-Dream PRO s.r.o., propagační předměty"
01.06.2021,"-25 000,00 CZK",Platba převodem uvnitř banky,,,308,2021005,1114,1114-BLUE HUB s.r.o. poradenství
01.06.2021,"-9 075,00 CZK",Bezhotovostní platba,,,308,20210034,1114,"1114-Monster Media s.r.o., příprava webu"
01.06.2021,"-55 062,00 CZK",Bezhotovostní platba,,,308,200213131,1114,"1114-Sonnentor s.r.o. , reklamní čaje"
01.06.2021,"-20 000,00 CZK",Platba převodem uvnitř banky,,,308,122021,1114,"1114-Zuzana Bönisch, fotografické práce"
01.06.2021,"-3 622,50 CZK",Bezhotovostní platba,,,308,200213132,1114,"1114-Sonnentor s.r.o. , reklamní čaje"
31.05.2021,"-5 808 000,00 CZK",Platba převodem uvnitř banky,,,558,20211003,1114,"1114-Nordeko a.s., reklamní BB kampaň"
28.05.2021,"-3 209,00 CZK",Okamžitá odchozí platba,,,308,20210015,2100,"2100-Eva Šťástková, květiny Petřín"
28.05.2021,"-150 000,00 CZK",Bezhotovostní platba,,,308,20210029,1114,"1114-PACEK s.r.o., technické zab. zahájení kampaně Brno"
28.05.2021,"-15 016,10 CZK",Bezhotovostní platba,,,308,62321,1114,"1114-Graf print s.r.o., rollupy"
25.05.2021,"-935 717,20 CZK",Bezhotovostní platba,,,308,21052,1114,"1114-Ydeal s.r.o., youtube, DV360 GDN banners"
25.05.2021,"-2 068,60 CZK",Okamžitá odchozí platba,,,0,210521,2600,"2600-Renata Svatošová , cestovné"
25.05.2021,"-1 162,60 CZK",Okamžitá odchozí platba,,,308,1,2300,"2300-Jan pešek , cestovné"
