datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
08.06.2021,"-50 000,00 CZK",Bezhotovostní platba,,"pp#16505 FO 1703/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202105, evavysanska",NA,2021013,42021,"pp#16505 FO 1703/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202105, evavysanska"
08.06.2021,"-50 000,00 CZK",Bezhotovostní platba,,"pp#16504 FO 1702/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202104, evavysanska",NA,2021012,42021,"pp#16504 FO 1702/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202104, evavysanska"
08.06.2021,"-25 000,00 CZK",Bezhotovostní platba,,"pp#16503 FO 1701/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202103, evavysanska",NA,2021011,42021,"pp#16503 FO 1701/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202103, evavysanska"
08.06.2021,"-5 000,00 CZK",Bezhotovostní platba,,"pp#16487 FO 1685/2021, stc:p, smlouva-o-dilo-namluveni-audio-novin, stepan-tucek",NA,20210607,42021,"pp#16487 FO 1685/2021, stc:p, smlouva-o-dilo-namluveni-audio-novin, stepan-tucek"
08.06.2021,"-5 000,00 CZK",Bezhotovostní platba,,"pp#16486 FO 1684/2021, stc:p, nahrani-audia-koalicnich-novin, jakub-suva",NA,20210507,42021,"pp#16486 FO 1684/2021, stc:p, nahrani-audia-koalicnich-novin, jakub-suva"
08.06.2021,"-10 000,00 CZK",Karetní transakce,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 7.6.2021, částka  10000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 7.6.2021, částka  10000.00 CZK"
08.06.2021,"-15 000,00 CZK",Karetní transakce,,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 7.6.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 7.6.2021, částka  15000.00 CZK"
07.06.2021,"-23 879,00 CZK",Bezhotovostní platba,,"pp#16509 FO 1707/2021, cen:kanc, dph-identifikovana-osoba-kveten-2021, financni-urad-praha-2",NA,71339698,NA,"pp#16509 FO 1707/2021, cen:kanc, dph-identifikovana-osoba-kveten-2021, financni-urad-praha-2"
07.06.2021,"-35 000,00 CZK",Bezhotovostní platba,,"pp#16500 FO 1698/2021, cen:ft, graficke-prace-mesic-kveten, petra-susserova",NA,20210044,333,"pp#16500 FO 1698/2021, cen:ft, graficke-prace-mesic-kveten, petra-susserova"
07.06.2021,"-7 000,00 CZK",Platba převodem uvnitř banky,,"pp#16498 FO 1696/2021, cen:ft, pr-sluzby-pro-hejtmana-p-kulhanka-kveten-2021, petr-slezak",NA,20210025,333,"pp#16498 FO 1696/2021, cen:ft, pr-sluzby-pro-hejtmana-p-kulhanka-kveten-2021, petr-slezak"
07.06.2021,"-12 100,00 CZK",Platba převodem uvnitř banky,,"pp#16495 FO 1693/2021, cen:ft, pr-sluzby-pro-hejtmana-petra-kulhanka-stan-karlovarsky-kraj-kveten, petr-nutil",NA,20210033,333,"pp#16495 FO 1693/2021, cen:ft, pr-sluzby-pro-hejtmana-petra-kulhanka-stan-karlovarsky-kraj-kveten, petr-nutil"
07.06.2021,"-50 000,00 CZK",Bezhotovostní platba,,"pp#16480 FO 1679/2021, cen:vs, proplaceni-centralni-volebni-manazer-pavel-gruber-kveten-2021, pavelgruber",NA,4,42021,"pp#16480 FO 1679/2021, cen:vs, proplaceni-centralni-volebni-manazer-pavel-gruber-kveten-2021, pavelgruber"
07.06.2021,"-99,00 CZK",Poplatek - platební karta,,"Založení karty, číslo bylo přiděleno",NA,9967,NA,"Založení karty, číslo bylo přiděleno"
