datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
05.06.2021,"500,00 CZK",Platba převodem uvnitř banky,"Mičulka, Zdeněk",dar na volby,NA,NA,NA,dar na volby
04.06.2021,"-245 630,00 CZK",Bezhotovostní platba,,"Fakturujeme vám - Venkovní plochy - billboardy, příjemce platby BigMedia, spol. s r.o.",NA,4202103437,NA,"Fakturujeme vám - Venkovní plochy - billboardy, příjemce platby BigMedia, spol. s r.o."
04.06.2021,"-170 445,00 CZK",Bezhotovostní platba,,"Fakturujeme Vám tisk a distribuci letáků 600 000 kusů, příjemce platby Šimway s.r.o.",308,202170,NA,"Fakturujeme Vám tisk a distribuci letáků 600 000 kusů, příjemce platby Šimway s.r.o."
04.06.2021,"370 000,00 CZK",Platba převodem uvnitř banky,PŘÍSAHA - občanské hnutí Roberta Šlachty,Převod na volební účet PŘÍSAHA,NA,NA,NA,Převod na volební účet PŘÍSAHA
04.06.2021,"-98 010,00 CZK",Okamžitá odchozí platba,,"Pronájem reklamních ploch 05 - 2021, tisk, výlep plakátů a výroba bannerů Jihlava a kraj Vysočina, příjemce platby Šimway s.r.o.",308,202169,NA,"Pronájem reklamních ploch 05 - 2021, tisk, výlep plakátů a výroba bannerů Jihlava a kraj Vysočina, příjemce platby Šimway s.r.o."
04.06.2021,"-11 495,00 CZK",Okamžitá odchozí platba,,"Fakturujeme Vám provoz a správu webových stránek PŘÍSAHA - 05 - 2021, příjemce platby Šimway s.r.o.",308,202168,NA,"Fakturujeme Vám provoz a správu webových stránek PŘÍSAHA - 05 - 2021, příjemce platby Šimway s.r.o."
04.06.2021,"-190 575,00 CZK",Bezhotovostní platba,,"Fakturujeme Vám organizaci petičních stánků, 45x stánků, 05 - 2021, příjemce platby Šimway s.r.o.",308,202167,NA,"Fakturujeme Vám organizaci petičních stánků, 45x stánků, 05 - 2021, příjemce platby Šimway s.r.o."
04.06.2021,"-84 700,00 CZK",Okamžitá odchozí platba,,"Fakturujeme Vám pronájem kancelářských prostor vč. poplatků a provozních nákladů za 05 - 2021, příjemce platby Šimway s.r.o.",308,202166,NA,"Fakturujeme Vám pronájem kancelářských prostor vč. poplatků a provozních nákladů za 05 - 2021, příjemce platby Šimway s.r.o."
04.06.2021,"400 000,00 CZK",Platba převodem uvnitř banky,PŘÍSAHA - občanské hnutí Roberta Šlachty,Převod na volební účet PŘÍSAHA,NA,NA,NA,Převod na volební účet PŘÍSAHA
03.06.2021,"-10 890,00 CZK",Karetní transakce,,"Nákup: FACEBK *PPZ463FE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 2.6.2021, částka  10890.00 CZK",NA,8013,NA,"Nákup: FACEBK *PPZ463FE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 2.6.2021, částka  10890.00 CZK"
