datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
05.06.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *XVDZT4P9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *XVDZT4P9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  20000.00 CZK"
02.06.2021,"-1 250,00 CZK",Platba převodem uvnitř banky,,bezpečnostní služby na kampani,308,2021009,NA,bezpečnostní služby na kampani
02.06.2021,"-2 043,00 CZK",Bezhotovostní platba,,"zlínský, pietní kytice, občerstvení",308,43052,NA,"zlínský, pietní kytice, občerstvení"
02.06.2021,"-1 803,00 CZK",Bezhotovostní platba,,"praha, vlajka ČR",308,73872021,NA,"praha, vlajka ČR"
02.06.2021,"-13 522,00 CZK",Bezhotovostní platba,,"praha, phm",308,311,NA,"praha, phm"
02.06.2021,"-15 856,51 CZK",Bezhotovostní platba,,"jihočeský, roznos novin",308,5102792964,NA,"jihočeský, roznos novin"
02.06.2021,"-3 148,00 CZK",Bezhotovostní platba,,"zlínský, nákup čtecího zařízení",308,210108918,NA,"zlínský, nákup čtecího zařízení"
31.05.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *GMSRP43AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.5.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *GMSRP43AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 29.5.2021, částka  20000.00 CZK"
26.05.2021,"-30 008,00 CZK",Bezhotovostní platba,,"vysočina, pronájem rekl. ploch MHD",308,21320002,NA,"vysočina, pronájem rekl. ploch MHD"
26.05.2021,"-40 000,00 CZK",Bezhotovostní platba,,"vysočina, pronájem rekl. ploch",308,6011160001,NA,"vysočina, pronájem rekl. ploch"
26.05.2021,"-16 335,00 CZK",Bezhotovostní platba,,"vysočina, pronájem billboardů",308,30220465,NA,"vysočina, pronájem billboardů"
26.05.2021,"-960,00 CZK",Bezhotovostní platba,,"zlínský, kytice na pietní akci",308,182021,NA,"zlínský, kytice na pietní akci"
26.05.2021,"-6 040,00 CZK",Bezhotovostní platba,,"liberecký, polep na auto",308,2321,NA,"liberecký, polep na auto"
26.05.2021,"-30 000,00 CZK",Platba převodem uvnitř banky,,banner na webových stránkách,308,12021,NA,banner na webových stránkách
26.05.2021,"-227 238,00 CZK",Bezhotovostní platba,,"reklamní materiály, plakáty",308,4212100902,NA,"reklamní materiály, plakáty"
26.05.2021,"-695 750,00 CZK",Bezhotovostní platba,,mediální a on-line kampaň,308,21217019,NA,mediální a on-line kampaň
26.05.2021,"-3 466,50 CZK",Bezhotovostní platba,,"královéhradecký, phm výlep plakátů",308,103,NA,"královéhradecký, phm výlep plakátů"
26.05.2021,"-1 754,10 CZK",Bezhotovostní platba,,"královéhradecký, phm výlep plakátů",308,2021000341,NA,"královéhradecký, phm výlep plakátů"
26.05.2021,"-3 228,40 CZK",Bezhotovostní platba,,"královéhradecký, phm výlep plakátů",308,227,NA,"královéhradecký, phm výlep plakátů"
26.05.2021,"1 000 000,00 CZK",Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,NA,NA,NA,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
25.05.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *DJQRT4KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.5.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *DJQRT4KAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.5.2021, částka  20000.00 CZK"
24.05.2021,"-17 158,79 CZK",Karetní transakce,,"Nákup: FACEBK *U95FU23272,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.5.2021, částka  17158.79 CZK",NA,3344,NA,"Nákup: FACEBK *U95FU23272,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.5.2021, částka  17158.79 CZK"
20.05.2021,"-12 624,60 CZK",Karetní transakce,,"Nákup: FACEBK *M8MQA6X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.5.2021, částka  12624.60 CZK",NA,3344,NA,"Nákup: FACEBK *M8MQA6X9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.5.2021, částka  12624.60 CZK"
18.05.2021,"-15 000,00 CZK",Karetní transakce,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 18.5.2021, částka  15000.00 CZK",NA,3344,NA,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 18.5.2021, částka  15000.00 CZK"
17.05.2021,"2 222,00 CZK",Bezhotovostní příjem,UHRICKOVA MONIKA,Platba zpet,NA,0,NA,UHRICKOVA MONIKA
