datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
01.06.2021,"-36 361,00 CZK",Okamžitá odchozí platba,,Trikolóra,308,51210003,0,Výroba odznaků (Brand Institut s.r.o.)
01.06.2021,"40 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,Převod prostředků na volební výdajový účet,NA,NA,NA,Převod prostředků na volební výdajový účet
06.05.2021,"-12 100,00 CZK",Okamžitá odchozí platba,,Trikolóra,308,20210017,0,Koncept volebního vizuálu (skicovné) (7 Agency ČB s.r.o.)
06.05.2021,"1 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,Převod prostředků na volební výdajový účet,NA,NA,NA,Převod prostředků na volební výdajový účet
20.04.2021,"-181 500,00 CZK",Bezhotovostní platba,,Trikolóra,308,210100083,0,Zajištění propagace hnutí dle smlouvy (OUR MEDIA a.s.) 04/2021
20.04.2021,"180 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,Převod prostředků na volební účet,NA,NA,NA,Převod prostředků na volební účet
17.03.2021,"-181 500,00 CZK",Bezhotovostní platba,,Trikolóra,308,210100055,0,Zajištění bannerů pro propagaci hnutí (OUR MEDIA a.s.)
17.03.2021,"72 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,převod na transparentní výdajový účet,NA,NA,NA,převod na transparentní výdajový účet
24.02.2021,"-18 249,45 CZK",Okamžitá odchozí platba,,Trikolóra pronájem míst pro reklamu kancelář Pardubice,308,9361210198,8,pronájem míst pro reklamu kancelář Pardubice
22.02.2021,"-500,00 CZK",Karetní transakce,,"Nákup: FACEBK *9EY252XZV2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.2.2021, částka  500.00 CZK",NA,6981,NA,"Nákup: FACEBK *9EY252XZV2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.2.2021, částka  500.00 CZK"
22.02.2021,"-500,00 CZK",Karetní transakce,,"Nákup: FACEBK *8SGJYZEZV2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.2.2021, částka  500.00 CZK",NA,6981,NA,"Nákup: FACEBK *8SGJYZEZV2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.2.2021, částka  500.00 CZK"
22.02.2021,"-500,00 CZK",Karetní transakce,,"Nákup: FACEBK *35QGYZEZV2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.2.2021, částka  500.00 CZK",NA,6981,NA,"Nákup: FACEBK *35QGYZEZV2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.2.2021, částka  500.00 CZK"
17.02.2021,"-181 500,00 CZK",Bezhotovostní platba,,Trikolóra,308,210100032,0,Zajištění bannerů pro propagaci hnutí (OUR MEDIA a.s.)
17.02.2021,"300 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,převod na transparentní výdajový účet,NA,NA,NA,převod na transparentní výdajový účet
10.02.2021,"-31 460,00 CZK",Platba převodem uvnitř banky,,Trikolóra,NA,2021006,7,Grafické práce (OLMK) PPJ net s.r.o.)
10.02.2021,"50 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,převod na transparentní výdajový účet,NA,NA,NA,převod na transparentní výdajový účet
03.02.2021,"-448,00 CZK",Karetní transakce,,"Nákup: Alza.cz a.s.,  Jankovcova 53, Prague, 170 00, CZE, dne 2.2.2021, částka  448.00 CZK",NA,6981,NA,"Nákup: Alza.cz a.s.,  Jankovcova 53, Prague, 170 00, CZE, dne 2.2.2021, částka  448.00 CZK"
02.02.2021,"5 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,Převod prostředků na volební výdajový účet,NA,NA,NA,Převod prostředků na volební výdajový účet
22.01.2021,"-181 500,00 CZK",Bezhotovostní platba,,Trikolóra,308,210100008,0,Zajištění bannerů pro propagaci hnutí (OUR MEDIA a.s.)
22.01.2021,"182 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,převod na transparentní výdajový účet,NA,NA,NA,převod na transparentní výdajový účet
