datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
26.06.2021,"-15 000,00 CZK",Karetní transakce,,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.6.2021, částka  15000.00 CZK",NA,3344,NA,"Nákup: GOOGLE *ADS1004003547,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 25.6.2021, částka  15000.00 CZK"
25.06.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *PBN3C53AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.6.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *PBN3C53AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.6.2021, částka  20000.00 CZK"
23.06.2021,"-8 470,00 CZK",Bezhotovostní platba,,"Josef Peck AX Pro, bannery",308,2021038,800,"Josef Peck AX Pro, bannery"
23.06.2021,"-3 532,10 CZK",Bezhotovostní platba,,"Vachta, pohonné hmoty",308,1421210525,200,"Vachta, pohonné hmoty"
23.06.2021,"-1 550,00 CZK",Bezhotovostní platba,,"Jakub Hyrš, magnetky",308,202106010,900,"Jakub Hyrš, magnetky"
23.06.2021,"-6 470,00 CZK",Bezhotovostní platba,,"Jakub Hyrš, polepy, plachta,magnety",308,202106011,1300,"Jakub Hyrš, polepy, plachta,magnety"
23.06.2021,"-25 000,00 CZK",Bezhotovostní platba,,"Ondřej Březina, digitální marketing",308,20210001,800,"Ondřej Březina, digitální marketing"
23.06.2021,"-1 000,00 CZK",Bezhotovostní platba,,"Dům kultury Ostrov, výlep plakátů",308,21137,400,"Dům kultury Ostrov, výlep plakátů"
23.06.2021,"-5 721 999,63 CZK",Bezhotovostní platba,,"Český Domov Media House, noviny",308,2117045,100,"Český Domov Media House, noviny"
23.06.2021,"-966 431,00 CZK",Bezhotovostní platba,,"MD Vision s.r.o., reklamní předměty",308,21217035,100,"MD Vision s.r.o., reklamní předměty"
23.06.2021,"-8 906,00 CZK",Bezhotovostní platba,,"Tomáš Langr, bannery",308,2021056,1500,"Tomáš Langr, bannery"
23.06.2021,"-3 499,00 CZK",Bezhotovostní platba,,"Jindřiška Janůjová, párty stan",308,2181000526,1400,"Jindřiška Janůjová, párty stan"
23.06.2021,"-7 899,00 CZK",Bezhotovostní platba,,"Libor Bláha, pronájem, občerstvení",308,2210015,300,"Libor Bláha, pronájem, občerstvení"
23.06.2021,"-2 098,00 CZK",Bezhotovostní platba,,"Marie Pošarová, květiny",308,80231,1000,"Marie Pošarová, květiny"
23.06.2021,"-3 595,10 CZK",Bezhotovostní platba,,"Marie Pošarová, květiny",308,84106,1000,"Marie Pošarová, květiny"
23.06.2021,"-840,00 CZK",Bezhotovostní platba,,"Marie Pošarová, výlep plakátů",308,25421,1000,"Marie Pošarová, výlep plakátů"
23.06.2021,"-1 699,00 CZK",Bezhotovostní platba,,"Marie Pošarová, květiny",308,73,1000,"Marie Pošarová, květiny"
23.06.2021,"-12 414,00 CZK",Bezhotovostní platba,,"MAFRA, a.s., inzerce",308,2321003993,1000,"MAFRA, a.s., inzerce"
23.06.2021,"-1 049 826,30 CZK",Bezhotovostní platba,,"BigMedia, spol.sr.o., rekl. plochy",308,120210283,100,"BigMedia, spol.sr.o., rekl. plochy"
23.06.2021,"8 000 000,00 CZK",Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,NA,NA,NA,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
23.06.2021,"-406,25 CZK",Karetní transakce,,"Nákup: FACEBK *FTW4C3TZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.6.2021, částka  406.25 CZK",NA,3344,NA,"Nákup: FACEBK *FTW4C3TZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.6.2021, částka  406.25 CZK"
23.06.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *ESEAP5BZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.6.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *ESEAP5BZ62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.6.2021, částka  20000.00 CZK"
21.06.2021,"-3 010,11 CZK",Karetní transakce,,"Nákup: FACEBK *QQ5726T9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.6.2021, částka  3010.11 CZK",NA,3344,NA,"Nákup: FACEBK *QQ5726T9N2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.6.2021, částka  3010.11 CZK"
18.06.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *47VV77TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.6.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *47VV77TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.6.2021, částka  20000.00 CZK"
16.06.2021,"-4 322,00 CZK",Bezhotovostní platba,,"ZIKADO, s.r.o., reklama v časopisu",308,21003641,800,"ZIKADO, s.r.o., reklama v časopisu"
16.06.2021,"-58 235,00 CZK",Bezhotovostní platba,,"MD Vision s.r.o., reklamní kampaň",308,21217032,100,"MD Vision s.r.o., reklamní kampaň"
16.06.2021,"-132 313,50 CZK",Bezhotovostní platba,,"BigMedia, spol. s r.o., plakáty",308,4212101159,100,"BigMedia, spol. s r.o., plakáty"
16.06.2021,"-6 017,00 CZK",Platba převodem uvnitř banky,,"Tisk Sarpet s.r.o., plachta",308,113314289,1000,"Tisk Sarpet s.r.o., plachta"
16.06.2021,"-11 646,00 CZK",Platba převodem uvnitř banky,,"Tisk Sarpet s.r.o., bannery",308,113314288,1400,"Tisk Sarpet s.r.o., bannery"
16.06.2021,"500 000,00 CZK",Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,NA,NA,NA,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
16.06.2021,"-840,60 CZK",Karetní transakce,,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.6.2021, částka  39.00 USD",NA,3344,NA,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.6.2021, částka  39.00 USD"
