datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
15.07.2021,"5 000 000,00 CZK",Platba převodem uvnitř banky,Trikolóra hnutí občanů,Převod prostředků na volební výdajový účet - Trikolora podíl,NA,NA,NA,Převod prostředků na volební výdajový účet - Trikolora podíl
15.07.2021,"-90 750,00 CZK",Bezhotovostní platba,,Platba Our Media - reklamní plochy,308,210100161,NA,Platba Our Media - reklamní plochy
15.07.2021,"-2 500,00 CZK",Bezhotovostní platba,,tvorba vide z události 23.06. 2021 Riegrovy Sady,308,2,NA,tvorba videa z události 23.06. 2021 Riegrovy Sady
15.07.2021,"-9 438,00 CZK",Bezhotovostní platba,,platba za Riegrovi Sady 23.6. - volební mítink,308,210100026,NA,platba za Riegrovi Sady 23.6. hudební produkce - volební mítink
15.07.2021,"-3 734,06 CZK",Bezhotovostní platba,,tisk letáků a bilboardového papíru - Ústecký Kraj,308,2100317,NA,tisk letáků a bilboardového papíru - Ústecký Kraj
15.07.2021,"-60 500,00 CZK",Bezhotovostní platba,,platba za inzerci v novinách,308,2121014347,NA,Platba Mafra (Metro 5+2)
15.07.2021,"-12 000,00 CZK",Platba převodem uvnitř banky,,startovné Trikolora Vysočina,308,221,NA,předvolební akce v závodech Dračích Lodí
15.07.2021,"-4 602,00 CZK",Bezhotovostní platba,,platba za letáky kampaň a den daňové svobody,308,31201182,NA,platba za letáky kampaň a den daňové svobody - Kraj Vysočina
15.07.2021,"-785 231,18 CZK",Bezhotovostní platba,,"Platba za inzerci, reklamu 06/21 CanMedia",308,2021136,NA,"Platba za inzerci, reklamu 06/21 CanMedia"
15.07.2021,"-111 763,00 CZK",Bezhotovostní platba,,doúčtování za 06/21 mediální a PR kampaň Brand,308,21210021,NA,doúčtování za 06/21 mediální a PR kampaň Brand
13.07.2021,"-181 681,50 CZK",Bezhotovostní platba,,platba za rebranding volebních stanů,308,210100442,NA,platba za rebranding volebních stanů
13.07.2021,"-126 391,00 CZK",Bezhotovostní platba,,Trikolora svobodní Soukromníci výlepové plochy,308,1022514,NA,Platba za Rengl - Výlepové plochy Ústecký kraj
